Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing
"Panasonic 6.5 kg 5 star Semi Automatic Top Load White, Blue", https://www.flipkart.com/panasonic-6-5-kg-5-star-semi-automatic-top-load-white-blue/p/itm58d9c33df776c?pid=WMNFRZ46ERAXSUVD,Panasonic,"8,690","11,000",21,"10,026","1,584",Semi Automatic Top Load
MarQ By Flipkart 6 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/marq-flipkart-6-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmd7d6488ed7c5b?pid=WMNFN284XPYVHFTF,MarQ,"20,990","24,499",14,"4,418",636,Fully Automatic Front Load
LG 7 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/lg-7-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itm1fb6b04b9570d?pid=WMNFTPBYJM57XG5G,LG,"29,990","38,990",23,"7,220",799,Fully Automatic Front Load
"Thomson 7.5 kg 5 Star, Germ Purifier Technology Fully Automatic Top Load Grey, Silver", https://www.flipkart.com/thomson-7-5-kg-5-star-germ-purifier-technology-fully-automatic-top-load-grey-silver/p/itm48654e7ad49c9?pid=WMNFUQZVN9FBDZZE,Thomson,"13,490","21,990",38,911,348,Fully Automatic Top Load
"IFB 7 kg Fully Automatic Front Load with In-built Heater Black, White", https://www.flipkart.com/ifb-7-kg-fully-automatic-front-load-in-built-heater-black-white/p/itm83b58c71b74e2?pid=WMNFVH9HWNQZ3FZN,IFB,"27,490","32,490",15,"14,461","1,697",Fully Automatic Front Load
LG 6.5 kg 5 Star Rating Fully Automatic Top Load Silver, https://www.flipkart.com/lg-6-5-kg-5-star-rating-fully-automatic-top-load-silver/p/itm21a33efa406b0?pid=WMNFMAFYVQG5MQPZ,LG,"18,650","22,990",18,"1,214",152,Fully Automatic Top Load
SAMSUNG 6.5 kg 5 Star Inverter Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-fully-automatic-top-load-grey/p/itm5814d96c6faa5?pid=WMNFPVW74ZSHUT5F,SAMSUNG,"16,590","21,500",22,"1,250",142,Fully Automatic Top Load
ONIDA 6.5 kg Washer only Red, https://www.flipkart.com/onida-6-5-kg-washer-only-red/p/itmfb5qhnphbykhc?pid=WMNE8XYHGGA75VWK,ONIDA,"5,189","5,400",3,"12,977","1,771",Washer only | 270 W
"SAMSUNG 6 kg 5 star Semi Automatic Top Load White, Grey, Purple", https://www.flipkart.com/samsung-6-kg-5-star-semi-automatic-top-load-white-grey-purple/p/itmc4c87248a9a26?pid=WMNFUGBCYDGMKE74,SAMSUNG,"8,390","9,900",15,"14,644","1,569",Semi Automatic Top Load
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load White, Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-white-grey/p/itmf0ac9e86d3ee0?pid=WMNETNHBASMCGFRZ,Whirlpool,"9,790","9,975",1,"33,340","3,628",Semi Automatic Top Load
BOSCH 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/bosch-7-kg-fully-automatic-top-load-grey/p/itmf7fhgbgqmyzdw?pid=WMNF7FHGNR9MJBGB,BOSCH,"21,000","23,449",10,"4,080",438,Fully Automatic Top Load
IFB 6.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/ifb-6-5-kg-fully-automatic-top-load-grey/p/itm53451c0d9063f?pid=WMNFVFQF3PEHNXZS,IFB,"17,807","19,990",10,"21,852","2,828",Fully Automatic Top Load
